	지점명	아파트명	주소	준공년월	세대
60	스타벅스 동대구로DT점	동대구유성푸르나임아파트	대구 동구 동부로22길 48	2014.11	672
61	스타벅스 청주용담DT점	우미린에듀파크2단지아파트	충북 청주시 상당구 수영로 359	2018.02	901
62	스타벅스 을숙도강변DT점	하단동SKVIEW아파트	부산 사하구 하신번영로 400	2004.05	1828
63	스타벅스 충주호암DT점	충주호암지구우미린에듀시티	충북 충주시 호암수청1로 13 우미린에듀시티아파트	2019.08	892
64	스타벅스 김해대로DT점	김해부원역푸르지오아파트	경남 김해시 김해대로 2326	2014.08	915
65	스타벅스 전남광양DT점	광양e편한세상아파트	전남 광양시 시청로 62	2016.06	440
66	스타벅스 동두천DT점	동원베네스트아파트	경기 동두천시 이담로 89	2009.07	486
67	스타벅스 인천강화DT점	강화남산리미래지향아파트	인천 강화군 강화읍 남문로 41	2011.11	120
68	스타벅스 수원KBS DT점	래미안노블클래스1단지아파트	경기 수원시 팔달구 권광로 246	2009.08	892
69	스타벅스 대구월곡DT점	상인영남화성타운아파트	대구 달서구 상인서로 76	1993.07	758
70	스타벅스 인천간석DT점	신동아파밀리에명품아파트	인천 남동구 염전로 440	2007.08	715
71	스타벅스 대전대사DT점	센트럴웅진스타클래스	대전 중구 중앙로 28	2013.08	250
72	스타벅스 대구침산DT점	침산화성파크드림	대구 북구 성북로 70	2017.09	1202
73	스타벅스 수원세류DT점	대한대우푸르지오아파트	경기 수원시 팔달구 권선로 477	1999.12	1293
74	스타벅스 광주선운DT점	선운이지더원2단지아파트	광주 광산구 선운중앙로 43	2014.07	378
75	스타벅스 대구중동네거리DT점	광명프레지던트아파트	대구 수성구 수성로 165	1980.08	233
76	스타벅스 구미시청DT점	상산에이스타운	경북 구미시 신시로14길 10	2002.09	19
77	스타벅스 계룡대로DT점	엄사성원아파트	충남 계룡시 엄사면 엄사중앙로 66	1997.11	1850
78	스타벅스 목포북항DT점	산정현대아파트	전남 목포시 죽산로40번길 24	1991.12	530
79	스타벅스 광주상무DT점	상무SK뷰아파트	광주 서구 마륵복개로 140	2016.01	536
80	스타벅스 서산예천DT점	e편한세상서산예천아파트	충남 서산시 동서1로 230	2017.02	936
81	스타벅스 명지강변DT점	중흥S클래스에듀오션아파트	부산 강서구 명지국제5로 90	2018.02	750
82	스타벅스 대전한남대DT점	영진로얄아파트	대전 대덕구 중리서로 31	1989.05	750
83	스타벅스 영등포신길DT점	래미안프레비뉴아파트	서울 영등포구 가마산로 442	2015.12	949
84	스타벅스 마산회원DT점	메트로시티2단지아파트	경남 창원시 마산회원구 삼호로 80	2015.10	1915
85	스타벅스 일산덕이DT점	일산태영데시앙아파트	경기 고양시 일산서구 탄중로101번길 36	2003.05	292
86	스타벅스 청주봉명DT점	초원아파트	충북 청주시 흥덕구 백봉로224번길 21	1992.12	232
87	스타벅스 화곡DT점	목동세종그랑시아아파트	서울 양천구 목동중앙남로3가길 59	2003.05	106
88	스타벅스 평택안중DT점	이화마을건영캐스빌아파트	경기 평택시 안중읍 안현로서9길 164-9	2005.04	744
89	스타벅스 대전IC DT점	비래한신휴플러스아파트	대전 대덕구 비래서로10번길 21	2006.06	646
90	스타벅스 부산재송DT점	더샵센텀파크1단지아파트	부산 해운대구 센텀중앙로 145	2005.10	2752
91	스타벅스 남양주연평DT점	해밀마을남양휴튼1단지아파트	경기 남양주시 진접읍 해밀예당1로 49	2010.02	443
92	스타벅스 원당DT점	어울림마을동신7단지아파트	경기 고양시 덕양구 호국로 754	1992.11	390
93	스타벅스 울산정자비치DT점	블루마시티KCC스위첸	울산 북구 산하동 510-1	2019.04	582
94	스타벅스 광주효천DT점	광주효천중흥S클래스아파트	광주 남구 효우로 332-11	2015.07	662
95	스타벅스 안양비산DT점	관악타운아파트	경기 안양시 동안구 학의로 20	1992.11	1800
96	스타벅스 광주방림DT점	광주양림휴먼시아1단지아파트	광주 남구 제중로 11	2008.09	987
97	스타벅스 광주운암DT점	운암주공3단지아파트	광주 북구 북문대로98번길 10	1984.11	2020
98	스타벅스 창원역DT점	창원중동유니시티1단지아파트	경남 창원시 의창구 중동로 34	2019.06	1803
99	스타벅스 양주송추DT점	송추마을우남아파트	경기 양주시 장흥면 가마골로 40-8	2001.09	395
100	스타벅스 양주광사DT점	대방노블랜드아파트	경기 양주시 부흥로 1898-4	2003.08	499
101	스타벅스 의정부회룡역DT점	신일유토빌	경기 의정부시 호암로 256	2003.04	1432
102	스타벅스 용인마북DT점	구성역효성해링턴플레이스	경기 용인시 기흥구 구성로53번길 20	2016.11	296
103	스타벅스 부천심곡DT점	연화마을건영캐스빌아파트	경기 부천시 옥산로 16	1994.03	424
104	스타벅스 송파나루역DT점	잠실리시온	서울 송파구 오금로 87	2004.05	476
105	스타벅스 당진시곡DT점	당진현대그린아파트	충남 당진시 서해로 6258-8	1996.12	575
106	스타벅스 동래미남DT점	동래효성해링턴플레이스	부산 동래구 아시아드대로255번길 14	2019.06	762
107	스타벅스 송파방이DT점	방이동대림아파트	서울 송파구 양재대로 1109	1985.02	480
108	스타벅스 김해외동DT점	e편한세상봉황역	경남 김해시 김해대로2324번길 54-27	2017.06	936
109	스타벅스 광주지원DT점	광주용산지구리슈빌아파트	광주 동구 용산1길 2	2019.05	820
110	스타벅스 안양호계DT점	내안애팰리스	경기 안양시 동안구 흥안대로94번길 68	2009.12	100
111	스타벅스 원주명륜DT점	개운한신휴플러스1차아파트	강원 원주시 서원대로 389	2006.12	762
112	스타벅스 인천갈산DT점	부평삼산지구엠코타운아파트	인천 부평구 후정로 7	2007.08	708
113	스타벅스 충남보령DT점	금성백조예미지2차아파트	충남 보령시 명천동 산38-9	2019.11	517
114	스타벅스 대구만촌DT점	만촌3차화성파크드림아파트	대구 수성구 교학로 13		
115	스타벅스 수원연무DT점	우만주공4단지아파트	경기 수원시 팔달구 창룡대로 194	1992.03	1152
116	스타벅스 수원망포DT점	그대가프리미어아파트	경기 수원시 영통구 덕영대로1484번길 21	2010.08	602
117	스타벅스 대전판암DT점	인동어진마을아파트	대전 동구 계족로 65	2007.04	813
118	스타벅스 구의DT점	래미안파크스위트	서울 광진구 광나루로 545	2018.09	854
119	스타벅스 광주운남DT점	운남주공6단지아파트	광주 광산구 목련로153번길 134	2001.12	1148
120	스타벅스 포항죽도DT점	포항자이아파트	경북 포항시 남구 상도남로 11	2018.09	1567
121	스타벅스 동부산DT점	송정휴먼시아2단지아파트	부산 해운대구 해운대로 1188		
122	스타벅스 제주성산DT점	드림팰리스아파트	제주 서귀포시 성산읍 고성동서로 56	2015.04	30
123	스타벅스 동명대DT점	한신문화타운	부산 남구 유엔평화로 152-2	1990.10	330
124	스타벅스 수영강변DT점	아시아선수촌아파트	부산 해운대구 선수촌로 122 아시아선수촌아파트	2002.06	2290
125	스타벅스 울산북구청DT점	벽산늘푸른아파트	울산 북구 상방로 160	1994.08	828
126	스타벅스 경산중방DT점	초원맨션아파트	경북 경산시 경안로48길 11-12	1989.05	59
127	스타벅스 익산영등DT점	제일타운아파트	전북 익산시 고봉로30길 13	1995.04	900
128	스타벅스 제주애월DT점	이강센스타운아파트	제주 제주시 애월읍 고내동길 21		
129	스타벅스 춘천석사DT점	석사현대3차아파트	강원 춘천시 퇴계로 220-20	1998.12	560
130	스타벅스 인천서구청DT점	연희극동늘푸른아파트	인천 서구 승학로 198	1997.08	998
